               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046654,            0.023128,            0.013015,             0.72492,             0.49684,             0.51571,             0.27626,            0.038128,            0.011807,           0.0088131,            0.070017,           0.0033314,           0.0033314
                   1,            0.047723,            0.022264,           0.0093845,             0.78532,             0.57917,              0.6748,             0.37533,            0.035134,            0.010687,           0.0049843,            0.039687,           0.0063349,           0.0063349
                   2,            0.046618,            0.022379,           0.0081969,             0.71226,             0.55734,             0.67734,             0.35559,             0.03585,            0.011293,           0.0050169,           0.0090271,           0.0090083,           0.0090083
                   3,            0.045341,            0.022742,           0.0079882,             0.74196,             0.56861,             0.70232,             0.36795,             0.03545,            0.011294,           0.0038373,            0.008515,            0.008515,            0.008515
                   4,              0.0433,            0.022415,           0.0070122,             0.75138,             0.64179,              0.7331,             0.40209,            0.034323,            0.010838,           0.0032294,            0.008515,            0.008515,            0.008515
                   5,            0.040874,            0.021654,           0.0057141,             0.71755,             0.68973,             0.73149,             0.42161,            0.032379,            0.010636,            0.002836,             0.00802,             0.00802,             0.00802
                   6,            0.039291,            0.021137,           0.0049723,             0.61624,             0.69645,             0.71947,             0.42889,            0.031497,            0.010487,           0.0027294,            0.007525,            0.007525,            0.007525
                   7,            0.037913,            0.020787,            0.004522,             0.62821,             0.70064,             0.70627,             0.44187,            0.030782,            0.010357,           0.0025767,             0.00703,             0.00703,             0.00703
                   8,            0.036625,            0.020245,           0.0039469,             0.71541,             0.73847,             0.76594,             0.48097,            0.029373,            0.010179,           0.0021869,            0.006535,            0.006535,            0.006535
                   9,            0.035485,            0.019811,            0.003656,             0.72557,             0.71492,             0.74641,             0.47668,            0.029524,           0.0098802,           0.0023706,             0.00604,             0.00604,             0.00604
                  10,            0.034653,             0.01948,           0.0032947,             0.69733,             0.80162,             0.78446,             0.48555,            0.028452,           0.0098335,            0.001658,            0.005545,            0.005545,            0.005545
                  11,            0.033615,            0.018934,           0.0031168,              0.7206,             0.73577,             0.75778,             0.49876,            0.028306,           0.0098198,           0.0017001,             0.00505,             0.00505,             0.00505
                  12,            0.032785,            0.018635,           0.0027241,             0.74961,             0.76476,             0.76331,             0.49916,             0.02771,           0.0096099,           0.0018721,            0.004555,            0.004555,            0.004555
                  13,            0.032089,             0.01834,            0.002622,             0.80725,             0.72415,             0.78192,             0.52713,            0.026615,           0.0096237,           0.0016388,             0.00406,             0.00406,             0.00406
                  14,            0.030985,            0.017905,           0.0023304,             0.77185,             0.78184,             0.80965,             0.54436,            0.026746,           0.0095291,           0.0013856,            0.003565,            0.003565,            0.003565
                  15,            0.030399,            0.017759,           0.0021498,             0.73125,             0.80679,              0.7911,             0.52557,            0.026406,           0.0094973,           0.0015265,             0.00307,             0.00307,             0.00307
                  16,             0.02977,            0.017359,           0.0020528,             0.73856,             0.82827,             0.81869,             0.53753,            0.026431,           0.0094649,           0.0013547,            0.002575,            0.002575,            0.002575
                  17,            0.028696,            0.016926,           0.0019459,             0.81845,             0.80504,              0.8382,             0.55941,            0.026093,           0.0094594,           0.0012671,             0.00208,             0.00208,             0.00208
                  18,            0.027999,            0.016638,           0.0016635,             0.80676,             0.77086,             0.82666,             0.58179,            0.025834,           0.0093904,           0.0011367,            0.001585,            0.001585,            0.001585
                  19,            0.027474,            0.016461,           0.0016259,             0.76328,              0.7789,             0.82343,             0.58229,            0.025714,           0.0092926,           0.0011986,             0.00109,             0.00109,             0.00109
